run_id,method,model,task,sparsity_fraction,timestamp,point_index,micro_batch,seq_len,world_size,tokens_per_step,mean_step_time_s,tokens_per_s,peak_mem_gb,run_dir
gpu-week4_sparse_to_sparse-mistral-7b-boolq-s25-20260302-002940-1779409,sparse_to_sparse,mistral-7b,boolq,25,20260302-002940-1779409,2,1,2048,1,2048,0.9292040569707751,2204.036868582476,29.83177423477173,results/runs/gpu-week4_sparse_to_sparse-mistral-7b-boolq-s25-20260302-002940-1779409
gpu-week4_sparse_to_sparse-mistral-7b-boolq-s50-20260302-011837-2149571,sparse_to_sparse,mistral-7b,boolq,50,20260302-011837-2149571,0,4,2048,1,8192,3.4808270528912546,2353.4636669740707,37.1028618812561,results/runs/gpu-week4_sparse_to_sparse-mistral-7b-boolq-s50-20260302-011837-2149571
gpu-week4_sparse_to_sparse-mistral-7b-boolq-s50-20260302-011837-2149571,sparse_to_sparse,mistral-7b,boolq,50,20260302-011837-2149571,1,2,2048,1,4096,1.72550930371508,2373.7918950545054,32.69330072402954,results/runs/gpu-week4_sparse_to_sparse-mistral-7b-boolq-s50-20260302-011837-2149571
gpu-week4_sparse_to_sparse-mistral-7b-boolq-s50-20260302-011837-2149571,sparse_to_sparse,mistral-7b,boolq,50,20260302-011837-2149571,2,1,2048,1,2048,0.9325878371484577,2196.039792093043,29.83177423477173,results/runs/gpu-week4_sparse_to_sparse-mistral-7b-boolq-s50-20260302-011837-2149571
gpu-week4_sparse_to_sparse-mistral-7b-gsm8k-s25-20260302-064019-3993574,sparse_to_sparse,mistral-7b,gsm8k,25,20260302-064019-3993574,0,4,2048,1,8192,3.4753041372634472,2357.20376589849,37.1028618812561,results/runs/gpu-week4_sparse_to_sparse-mistral-7b-gsm8k-s25-20260302-064019-3993574
gpu-week4_sparse_to_sparse-mistral-7b-gsm8k-s25-20260302-064019-3993574,sparse_to_sparse,mistral-7b,gsm8k,25,20260302-064019-3993574,1,2,2048,1,4096,1.7241184734739363,2375.7068107662844,32.69330072402954,results/runs/gpu-week4_sparse_to_sparse-mistral-7b-gsm8k-s25-20260302-064019-3993574
gpu-week4_sparse_to_sparse-mistral-7b-gsm8k-s25-20260302-064019-3993574,sparse_to_sparse,mistral-7b,gsm8k,25,20260302-064019-3993574,2,1,2048,1,2048,0.9301851095631719,2201.712303222925,29.83177423477173,results/runs/gpu-week4_sparse_to_sparse-mistral-7b-gsm8k-s25-20260302-064019-3993574
gpu-week4_sparse_to_sparse-mistral-7b-gsm8k-s50-20260302-110021-1438675,sparse_to_sparse,mistral-7b,gsm8k,50,20260302-110021-1438675,0,4,2048,1,8192,3.478681864961982,2354.9149700958724,37.1028618812561,results/runs/gpu-week4_sparse_to_sparse-mistral-7b-gsm8k-s50-20260302-110021-1438675
gpu-week4_sparse_to_sparse-mistral-7b-gsm8k-s50-20260302-110021-1438675,sparse_to_sparse,mistral-7b,gsm8k,50,20260302-110021-1438675,1,2,2048,1,4096,1.7248274948447944,2374.7302337435035,32.69330072402954,results/runs/gpu-week4_sparse_to_sparse-mistral-7b-gsm8k-s50-20260302-110021-1438675
gpu-week4_sparse_to_sparse-mistral-7b-gsm8k-s50-20260302-110021-1438675,sparse_to_sparse,mistral-7b,gsm8k,50,20260302-110021-1438675,2,1,2048,1,2048,0.9297963444143533,2202.6328800958718,29.83177423477173,results/runs/gpu-week4_sparse_to_sparse-mistral-7b-gsm8k-s50-20260302-110021-1438675
gpu-week4_sparse_to_sparse-mistral-7b-hellaswag-s25-20260302-023306-2559895,sparse_to_sparse,mistral-7b,hellaswag,25,20260302-023306-2559895,0,4,2048,1,8192,3.479407273419201,2354.4240027841724,37.1028618812561,results/runs/gpu-week4_sparse_to_sparse-mistral-7b-hellaswag-s25-20260302-023306-2559895
gpu-week4_sparse_to_sparse-mistral-7b-hellaswag-s25-20260302-023306-2559895,sparse_to_sparse,mistral-7b,hellaswag,25,20260302-023306-2559895,1,2,2048,1,4096,1.7238987537100912,2376.009606819883,32.69330072402954,results/runs/gpu-week4_sparse_to_sparse-mistral-7b-hellaswag-s25-20260302-023306-2559895
gpu-week4_sparse_to_sparse-mistral-7b-hellaswag-s25-20260302-023306-2559895,sparse_to_sparse,mistral-7b,hellaswag,25,20260302-023306-2559895,2,1,2048,1,2048,0.9270609247498214,2209.1320487406774,29.83177423477173,results/runs/gpu-week4_sparse_to_sparse-mistral-7b-hellaswag-s25-20260302-023306-2559895
gpu-week4_sparse_to_sparse-mistral-7b-hellaswag-s50-20260302-035830-3016359,sparse_to_sparse,mistral-7b,hellaswag,50,20260302-035830-3016359,0,4,2048,1,8192,3.4787975351326166,2354.8366690698226,37.1028618812561,results/runs/gpu-week4_sparse_to_sparse-mistral-7b-hellaswag-s50-20260302-035830-3016359
gpu-week4_sparse_to_sparse-mistral-7b-hellaswag-s50-20260302-035830-3016359,sparse_to_sparse,mistral-7b,hellaswag,50,20260302-035830-3016359,1,2,2048,1,4096,1.7248498966917396,2374.6993914404516,32.69330072402954,results/runs/gpu-week4_sparse_to_sparse-mistral-7b-hellaswag-s50-20260302-035830-3016359
gpu-week4_sparse_to_sparse-mistral-7b-hellaswag-s50-20260302-035830-3016359,sparse_to_sparse,mistral-7b,hellaswag,50,20260302-035830-3016359,2,1,2048,1,2048,0.934435969311744,2191.696453539185,29.83177423477173,results/runs/gpu-week4_sparse_to_sparse-mistral-7b-hellaswag-s50-20260302-035830-3016359
